service;date;time;message;sentimen
twitter;07/04/2021;08:47:00;RT @fsskroeppreal: PPKM - Pernah percaya kemudian menyesal.~ https://t.co/GT6k6wPMFb;Negatif
twitter;10/16/2021;08:34:00;RT @PolsekPupuan:Cegah Penyebaran Covid-19, Kapolsek Selbar bagikan masker gratis kepada masyarakat di Pasar Surabrata. #masker #pakaimasker #prokes #ppkm #BersatuLawanCorona #polrestabanan https://t.co/d0wDwX2VTi;Positif
twitter;07/12/2021;11:56:00;@Humas_SekMaos Pemerintah merevisi aturan Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) Darurat yang diberlakukan sejak 3 Juli 2021.\n#DisiplinSuksesPPKM\nLebih Baik Dirumah;Positif
twitter;07/15/2021;08:12:00;RT @Daeng_Info:Rekaman CCTV Oknum Satpol PP di Kab. Gowa yang melakukan kekerasan saat lakukan razia PPKM terhadap pemilik Warkop Ivan Riyana di Panciro, Kab. Gowa pada Rabu malam (14/7). \n\n😡🤬😡🤬😠🤬😠🤬 https://t.co/f0RnCSAnHi;Negatif
twitter;07/19/2021;05:40:00;RT @detikcom:Kemenag mengumumkan petunjuk teknis pelaksanaan kurban 1442 H/2021 M di wilayah PPKM Darurat. Pelaksanaan diharapkan dapat memprioritaskan protokol kesehatan. https://t.co/G9OTjVryAR;Netral
twitter;08/09/2021;20:53:00;"RT @radenrauf:Kamu mau ga jadi pacar aku?\n\n""Nanti ya aku kasih jawaban kalau PPKM sudah selesai""\n\nItu adalah tanda kamu ditolak, tks.";Negatif
twitter;08/02/2021;08:24:00;@tatakujiyati @Adinda_Zahran1 @aniesbaswedan Kasus berkurang Dengki meningkat...;Netral
twitter;07/27/2021;04:37:00;RT @Aline_Y_Tan: Kemaren PSBB, Sekarang PPKM 🤔\nBentar Lagi PPKN, IPA, IPS, MTK, PLH, AGAMA, DLL 😂;Netral
twitter;07/13/2021;20:18:00;@afrkml Ners maap oot, aku udah beres isoman, udah swab negarif, terus tadi pagi keluar beli sarapan dan pas antri ada emak2 ghibah, terus ada yang bilang masih belum bisa nyium bau, masih demam  masih batuk, tapi udah kumpul2 dan gak pake masker, sedih banget ners :(;Negatif
twitter;08/26/2021;09:54:00;"RT @OHMYV3NUS: @AREAJULID ""PPKM diperpanjang terus, kapan kelarnya sih? Bosen di rumah terus, pengen liburan atau sekolah offline. Kebijaka…";Negatif
twitter;08/27/2021;09:56:00;RT @sutanmangarahrp: Saya memiliki 7 Cbang restoran. Krn PPKM, usaha sangat sepi sekali,lain lagi dibatasi jam buka usaha. untuk menggaji k…;Negatif
twitter;07/08/2021;23:50:00;RT @nanowijaya01:Manakah kalimat dibawah ini yang paling benar :\nA. PPKM : Para Pedagang kembali mumet\nB. PPKM : Pemberlakuan Pembatasan Kegiatan Masyarakat\nC. PPKM : Pak Presiden Kapan Mundur\nJawablah dengan sopan dan bertata krama �?;Negatif
twitter;07/20/2021;15:16:00;Bantu pemerinth lawan Covid - 19 dg n mengikut edaran aturan PPKM sehingga qt smw lekas bisa kmbli beraktifitas seperti biasanya. https://t.co/MfnE7EaKpq;Positif
twitter;07/16/2021;10:23:00;@PolisiSukoharjo #VaksinPerkuatImunitas PPKM Cegah Penyebaran patuh ya gaes jangan aneh2;Positif
twitter;07/21/2021;18:18:00;@straylknow Waah iyaa jauhhh, di Bali masih PPKM Kak Aca?;Netral
twitter;08/02/2021;19:36:00;@notyortype Daan mogot suka rese pulicinya kalo hari pertama perpanjangan ppkm disekat;Negatif
twitter;10/07/2021;19:05:00;RT @anakgembala1234: oknum ppkm nih 😠 https://t.co/prtutHtLMK;Netral
twitter;08/20/2021;08:54:00;@nurulrahma Jadi terbiasa meetup Virtual mbak hehhee\nGapapa PPKM diperpanjang \nAsalkan Covid-19 segera enyah \nDan kita bebas utk bisa meet  up nantinya;Positif
twitter;08/18/2021;19:56:00;RT @detikcom: Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) Level 4, 3, dan 2 pada 7 Agustus hingga 16 Agustus di Jawa-Bali telah menu…;Negatif
twitter;08/16/2021;09:46:00;Hari ini terakhir PPKM.\n\nKira-kira dilanjut lagi gak nih? 🤔;Netral
twitter;08/22/2021;16:13:00;RT @AULION: Mall terbaik selama PPKM https://t.co/qgjcMlK4dh;Netral
twitter;07/06/2021;11:18:00;RT @AzzamIzzulhaq: Saya belum melihat, mendengar atau pun membaca pelanggar protokol kesehatan ataupun aturan PPKM di level menengah ke ata…;Positif
twitter;07/17/2021;20:53:00;RT @tempodotco:Menteri Koordinator Bidang Kemaritiman dan Investasi Luhut Binsar Pandjaitan meminta maaf kepada rakyat Indonesia jika PPKM Darurat belum optimal. https://t.co/KlezzefSmO #TempoBisnis;Positif
twitter;07/04/2021;17:48:00;RT @PutraWadapi: 20 TKA Asal China Tiba di Bandara Sultan Hasanuddin saat PPKM Darurat\nhttps://t.co/O9O0XFQbwE;Negatif
twitter;10/27/2021;06:20:00;RT @tuyoelpolitik:@NayoanAngelyca @mustcho_55555 Balik ke Gorong-gorong. 🤣🤣🤣 \n#CabutMandatPresiden2021 \n#CabutMandatPresiden2021 \n\nHabis ngga bener ngurus negaranya. Kalau ngga jual asset, ngutang deh. Rakyat dibikin sengsara pake PPKM, skrg PCR 300RB, Rakyat duit dari mana ? Pejabat mah banyak duit.;Negatif
twitter;09/11/2021;06:25:00;RT @OmegaF1998: Hanya Kaum Kacung Cina alias BuzzeRP yang Mendukung PPKM..\n\nPernah Nggak BuzzeRP mendukung Rakyat? Nggak pernah tuh..\n\nTaga…;Negatif
twitter;07/16/2021;23:36:00;@convomf PPKM = Pelan Pelan Kamu Menjauh;Negatif
twitter;08/13/2021;21:00:00;PPKM Diperpanjang, Senator Minta Lipatgandakan Vaksinasi - VOA-ISLAM.COM shar.es/aWqW6L;Netral
twitter;07/30/2021;06:54:00;Kunjungan Pangdam XII/Tpr Mayjen TNI Muhammad Nur Rahmad dalam Rangka Pengecekan Posko PPKM Mikro Tingkat Kelurahan\n#PolriAdaptasiKebiasaanBaru @gajah_2001 \n#polriuntukindonesia\n#polricegahcovid19\n#PRESISI\n#komunikatif POLRES SINGKAWANG - SALAM JKK https://t.co/tnuarqn8jG;Positif
twitter;08/16/2021;12:31:00;RT @Asguntop:Assalamualaikum... Mungkin ada yg bisa bantu saya utk membeli beras teman saya... Beliau sedang membutuhkan biaya hidup sekeluarga utk Survive dimasa ppkm ini,, pekerjaan beliau ojol..  �? https://t.co/9pnim1F0HA;Negatif
twitter;07/08/2021;14:47:00;RT @KetumProDEMnew:Hak² sebagai warga yang dikarantina bahkan hewan ternak, mesti dijamin pemerintah pusat.\n\nUU No.6/2018 Kekarantinaan Kesehatan dipakai untuk menghukum pelanggar PPKM Darurat.\nPPKM tak ada dasar hukum, disebut saja tidak.\n\nIstilah PPKM tak lain hanya untuk hindari tanggung jawab. https://t.co/gyj81mJDkl;Negatif
twitter;07/25/2021;19:24:00;RT @kumparan:#BreakingNews Presiden @jokowi mengumumkan kebijakan terkini terkait penanganan corona. PPKM level 4 diperpanjang dari 26 Juli-2 Agustus 2021. https://t.co/4KBTzkp269 https://t.co/PA2FwH174Z;Netral
twitter;07/28/2021;09:57:00;Wah ada Challenge nih dalam rangka aturan PPKM Level 4 yang diperpanjang\n\nUntuk makan di tempat dengan menu paket kenyang atau steak ayam yg habis sebelum 20 menit, berhak mendapatkan voucher diskon 10K\n\ndimulai tgl 28 Juli sampai 8 Agustus 2021\n#malang #infomalang #malangkuliner https://t.co/LBIdqwIohO;Netral
twitter;10/14/2021;20:56:00;RT @AldoBabeh:PROSES PENDAFTARAN GUGATAN TERHADAP KEBIJAKAN GUBERNUR DKI JKT TENTANG PPKM...\n\nSILAHKAN DI SHARE !!\n#AuditAlatPCR #StopPaksaVaksin https://t.co/wnqRrsjrGZ;Negatif
twitter;10/02/2021;21:10:00;RT @IndonesiaBaikId:Salah satu penyesuaian aturan pada #PPKM adalah diperbolehkannya #Anak usia di bawah 12 th masuk #Mal \n\nApa saja syaratnya? Yuk simak informasinya, SohIB!\n\n@setkabgoid\n#IndonesiaBaik #Infografis #PeduliLindungi #AyoPakaiMasker #AyoSegeraVaksin #COVID19 #KominfoNewsroom https://t.co/YAcMbtS790;Positif
twitter;08/16/2021;13:13:00;RT @masmasjawabgt:Giveaway PPKM edition\n\nSaldo 100rb atau Indomie 1 kardus.\n\nRT dan like tweet ini\n\nFollow saya\n\nSelesai dalam 8 jam\n\nGood luck dan semoga tetap hidup yaa. https://t.co/B9FQQV3wGX;Positif
twitter;08/13/2021;08:06:00;RT @diddekarisma:PPKM nya dicicil seminggu seminggu kek kredit panci.;Negatif
twitter;07/14/2021;03:40:00;@WongFekok @Aalembur @CCICPolri @DivHumas_Polri Tebakanku, yg kayak ginian hanya akan berakhir dengan:\n1. Maaf,\n2. Klarifikasi,\n3. Sodorin meterai,\n4. Diangkat jadi DUTA PPKM.\nWakakakakak....\nMaaf, kalo tebakanku bener lagi.\n\n#Ngik;Negatif
twitter;07/15/2021;15:49:00;RT @JukiHoki:gue percaya PPKM adalah jalan yang tepat mengurangi penyebaran virus Corona. Tapi kalau lawannya adalah rakyat yang lapar, ya susah. siapa sih gak mau kalau makan terjamin dan bebas rebahan. \n\nJangan  kita dikurung, pendatang asing terus ditampung. https://t.co/w34qWLgXJD;Positif
twitter;07/02/2021;12:32:00;"@Parknopskie versiku:\nPPKM\n2PP&amp;2KM\nPPKM: Tokyo Drift\nPP&amp;KM\nKM";Netral
twitter;08/16/2021;22:51:00;RT @piokharisma:PPKM diperpanjang.\n\nSiapa pun yang membutuhkan jasa fotografer, silakan hubungi saya. Saya sudah kehabisan uang jadi saya mengaktifkan mode: BODO AMAT.\n\nOya, siapa tau info ini membantu: saya sudah vaksin 2x. 🔥🔥🔥;Negatif
twitter;09/09/2021;21:23:00;RT @asumsico:Anies menyatakan pelanggar PPKM akan masuk dalam daftar hitam. Sebuah teknologi sedang disiapkan untuk mendukung kebijakan itu.\n\n https://t.co/SUZmGMFXJg;Netral
twitter;07/03/2021;16:24:00;RT @kopidansenjaa:Udh planning sana sini, eh ternyata ppkm, dahlah bubar.. https://t.co/713zHYK6fq;Negatif
twitter;07/17/2021;13:26:00;"RT @tirta_hudhi:Begini resikonya kalo kritisi ppkm? \n\nPadahal saya cuma bicara : ppkm yg efektif kalo kebutuhan warga dipenuhi\n\nDan dibales oleh ""satu sosok"" yg saya kenal baik banget. Dan dia dekat dengan pemerintah\n\nDijawab begini\n\nSedih amat yah. Kritik aja ga boleh https://t.co/GfuKrycts4";Negatif
twitter;09/06/2021;18:57:00;Pemerintah Kembali Perpanjang PPKM Hingga 13 September 2021 https://t.co/2pzOmCssaK;Netral
twitter;07/12/2021;10:23:00;@POLRESBYL Mantab#DisiplinSuksesPPKM\nLebih Baik Dirumah;Positif
twitter;07/04/2021;20:36:00;RT @RamliRizal: PPKM artinya opo toh ?? \nMoso artinya ini toh 😄 ? https://t.co/CRqLvBIICB;Netral
twitter;07/30/2021;00:40:00;RT @ghastpiracy: efek ppkm terhadap ariel noah https://t.co/hJ8mGfWSQ4;Netral
twitter;07/03/2021;14:45:00;"RT @refrizalskb:Saya menolak &amp; Tidak setuju Masjid ditutup selama PPKM Darurat!!!\nApa Tidak Takut Allah SWT Murka?";Negatif
twitter;09/05/2021;18:38:00;RT @liputan6dotcom: FOTO: Upaya Pedagang Pasar Santa Menarik Pelanggan di Masa PPKM dlvr.it/S6zDdC;Positif
twitter;07/25/2021;21:17:00;RT @ridwankamil:Presiden malam tadi mengumumkan perpanjangan PPKM Level 4 sampai 2 Agustus 2021. Secara umum situasi membaik namun belum terkendali sepenuhnya.\n\nNamun, alhamdulillah ada 11 daerah yg berhasil membaik sehingga diperbolehkan melaksanakan PPKM di Level 3 dengan berbagai pelonggaran. https://t.co/64in7Ck43x;Positif
twitter;10/15/2021;10:51:00;Bantuan PPKM level 4 Dari Polrestabes Kota Bandung, \nKelurahan Cipadung Wetan 15 Oktober 2021 @OdedMD @kangyanamulyana @HumasBdg @pembdg @KecPanyileukan @ppidkotabandung @Srie49057892 https://t.co/IwOnEmz14s;Positif
twitter;07/03/2021;15:03:00;Jalan utama lagi di cor.... Ppkm mulai berlaku\nDahlah... :') https://t.co/gpzDJR64aE;Negatif
twitter;08/03/2021;02:31:00;Ppkm diperpanjang soalnya masih level 4 sih pemerintah nunggu ampe level 5 dulu biar bisa ranked https://t.co/1D6n8txBJz;Negatif
twitter;07/31/2021;09:49:00;RT @PutraWadapi:Rakyat Menjerit saat PPKM Darurat karena Jokowi Berlakukan Kebijakan Ilegal dan Prematur\nhttps://t.co/c8izlqetJJ;Negatif
twitter;07/28/2021;12:20:00;RT @EvanisaNkri:Karena baru pelaksanaan PPKM untuk menekan penyebaran covid19 untuk menghindari kerumunan massa, makan di warungpun juga ada aturannya, yaitu cukup 20 menit. Lebih afdhol beli makan di rumah saja bersama keluarga, sehat terbebas dari corona?\n\n@jokowi https://t.co/Y6bYhxA2XT;Positif
twitter;09/28/2021;15:19:00;RT @Penyihirgroup: Apa kegiatan kamu selama PPKM? https://t.co/ButmjSov8R;Netral
twitter;07/05/2021;13:11:00;@humaspolresbjn Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) Darurat diterapkan untuk keselamatan bersama di tengah meledaknya kasus Covid-19.\n#PPKMdanTetapVaksinasi\nSosialisasi Edukasi Masyarakat\n17;Positif
twitter;08/09/2021;22:45:00;keributan itu perlu di saat ppkm gini. yg belum debut di persilahkan besok2.;Negatif
twitter;08/27/2021;16:48:00;RT @izonemfs: -izone Di Korea kaga ada PPKM ya? \nGila sampe desek desekan kaya gitu https://t.co/fXCF9kiLhs;Netral
twitter;08/16/2021;21:32:00;@convomf amit amit dh;Negatif
twitter;07/19/2021;06:28:00;RT @entartuuur___: PPKM diperpanjang kemungkinan besar jika hasilnya masih sama saja maka akan dilanjutkan dengan adu penalti;Negatif
twitter;07/15/2021;06:27:00;RT @Daeng_Info: Oknum Satpol PP di Kab. Gowa melakukan kekerasan saat lakukan razia PPKM terhadap pemilik Warkop Ivan Riyana di Panciro, Ka…;Negatif
twitter;08/08/2021;23:54:00;@SierraCdngn @m_dinsyamsuddin @Nurmantyo_Gatot @ReflyHZ @RamliRizal @UAS_AbdulSomad @aagym @NataliusPigai3 @DongenakDongora @veaadeeana @herlinarina842 @Nicho_Silalahi @msaid_didu @datukpancilok Hehehe... Sekali kali batuk juga, namanya juga sedang PPKM Siera 😜😜;Negatif
twitter;07/30/2021;13:25:00;@humas_resklaten 20. Kapolri Meninjau Langsung Vaksinasi Massal di Gedung Pusat Dakwah Muhammadiyah Jakarta Pusat.\n\n#SinergiPercepatanVaksinasi\nPatuhi PPKM Lakukan 5M;Positif
twitter;07/03/2021;14:29:00;RT @KompasTV:DPR: Pelanggar PPKM Darurat Jangan Didenda dan Penjara, Berikan Sanksi Kerja Sosial https://t.co/219qQopYGU https://t.co/2jfKlZr2hn;Positif
twitter;07/04/2021;22:33:00;RT @BanggaSurabaya:Malam ini (3/7) Wali Kota Surabaya Eri Cahyadi beserta jajaran Forkopimda Kota Surabaya melakukan pemantauan pelaksanaan PPKM Darurat\n\nDalam perjalanan masih ditemukan beberapa warkop yang buka dan terdapat pelanggan, salah satunya di wilayah Perak Barat, Surabaya Utara https://t.co/Ec3S3z7mUp;Positif
twitter;07/04/2021;17:06:00;RT @HukumDan: PPKM membuat \nPara \nPencari\nKerja \nMenderita\nSementara TKA China melenggang dapat Kerja\nMantap LBP �?�? https://t.co/72ZMJo0mQG;Negatif
twitter;07/27/2021;07:59:00;RT @timtamlatte83: jam segini masih rebahan...efek PPkm level 4.... https://t.co/27Z9jp0yx0;Netral
twitter;07/22/2021;02:20:00;@AREAJULID Lo nanya ppkm apaan? Yak ppkm adalah pukul pala kau monyet;Negatif
twitter;07/27/2021;15:00:00;"RT @miftah_rizaq:⛵ GIVEAWAY hasil #LelangKarya ⛵\n\nAda Saldo GoPay 400k untuk 2 orang yang (masing-masing 200k)\n\nSyarat :\n- Follow @miftah_rizaq , @Lucassurya , dan @janedoeisliving \n- RT &amp; Like\n- Rep dengan harapan kalian setelah PPKM dan Pandemi ini selesai\n\nEnd Selasa 27 Juli jam 22.00 WIB ⛵";Netral
twitter;07/08/2021;14:48:00;@yusufgunawan @infomalang @cityguide911fm Alhamdulillah sengkaling bagian selatan gak kena pemadaman. Loss dol nge-game ama istri, pak. efek ppkm darurat. (Nganggurnggurnggur);Netral
twitter;09/11/2021;22:35:00;@jinnieprr omg, hello there! Perkenalan ulang deh, aku Grasia jodoh Taehyung, lagi sibuk akhir�? ini, ngga juga sie lagi irit kuota aja ya sama aja lah. Stay healthy and stay strong with this f ppkm, jangan lupa istirahat dan tetap dukung Grasia menjadi jodoh Taehyung. Love youuh beybehh 😚;Positif
